municipio,latitud,longitud
Agrón,37.0187053906395,-3.8166684038
Alamedilla,37.5986796621785,-3.2235263003
Albolote,37.2934350608338,-3.6556234293
Albondón,36.8447786638947,-3.2099607130
Albuñán,37.2337760281121,-3.1410410573
Albuñol,36.7824915402331,-3.1812216525
Albuñuelas,36.9193163878517,-3.6812902843
Aldeire,37.1681040875552,-3.0764650570
Alfacar,37.2481333304636,-3.5543165771
Algarinejo,37.2709210834026,-4.1915596125
Alhama de Granada,37.01796473299,-3.960027806095
Alhendín,37.0680069838301,-3.7013004512
Alicún de Ortega,37.6092639212969,-3.1557932316
Almegíjar,36.9011498891613,-3.2841681444
Almuñécar,36.7571533813593,-3.7258141108
Alpujarra de la Sierra,36.9971288043358,-3.1312768427
Alquife,37.193971736811,-3.10851974483
Arenas del Rey,36.9456785358287,-3.8527713961
Armilla,37.1509740689812,-3.6188347222
Atarfe,37.2516935878162,-3.7002334781
Baza,37.4116963186677,-2.7641299359
Beas de Granada,37.2380910340452,-3.4657459092
Beas de Guadix,37.2774599588268,-3.2071027880
Benalúa,37.3565164296236,-3.1612739601
Benalúa de las Villas,37.4379803944099,-3.6624179437
Benamaurel,37.6308021769334,-2.7125796103
Bérchules,37.0226897772781,-3.2036823885
Bubión,36.9824458081345,-3.3673131412
Busquístar,36.9601866606645,-3.2805572591
Cacín,37.0815420410219,-3.9177025849
Cádiar,36.9332249622275,-3.1556414845
Cájar,37.1333255407735,-3.5698357713
Calahorra La,37.2161223182831,-3.0515879205
Calicasas,37.2821337768701,-3.6273724104
Campotéjar,37.5064679188526,-3.6008322892
Cáñar,36.9658346363406,-3.4216942267
Caniles,37.404513678432,-2.65468543166
Capileira,37.0059603214761,-3.3505589980
Carataunas,36.921913786173,-3.39361438504
Cástaras,36.9116919401428,-3.2351103805
Castilléjar,37.725749313535,-2.65187275204
Castril,37.8534118078267,-2.7754484537
Cenes de la Vega,37.1564359000773,-3.5364945956
Chauchina,37.1814059258351,-3.7800456985
Chimeneas,37.1222768909327,-3.8245791491
Churriana de la Vega,37.1540979339119,-3.6380094961
Cijuela,37.1783811076378,-3.8270091459
Cogollos de Guadix,37.2244903331928,-3.1784394728
Cogollos de la Vega,37.2995710100358,-3.5598802959
Colomera,37.3881355537387,-3.6946781787
Cortes de Baza,37.678763555118,-2.80266591875
Cortes y Graena,37.2963242024139,-3.2366306347
Cuevas del Campo,37.6037718066379,-2.8943500729
Cúllar,37.5715626662141,-2.5262345726
Cúllar Vega,37.1597956792889,-3.6800171044
Darro,37.3607101119638,-3.2752416596
Dehesas de Guadix,37.6009777498864,-3.0943420482
Deifontes,37.3515333398305,-3.6023535208
Diezma,37.3266349385738,-3.3398823344
Dílar,37.061054326895,-3.49620685788
Dólar,37.2312945708123,-2.9344906036
Dúdar,37.1877459936114,-3.4895031125
Dúrcal,37.02763963509,-3.496246519661
Escúzar,37.0514853806806,-3.7748204312
Ferreira,37.1818676719013,-3.0216378546
Fonelas,37.4169485979763,-3.1606071553
Freila,37.5446240833548,-2.9537749758
Fuente Vaqueros,37.2197843304207,-3.7810771653
Las Gabias,37.1341120856105,-3.6934842856
Galera,37.7063902905531,-2.5756944069
Gobernador,37.4789920529327,-3.2964530776
Gójar,37.0959730094347,-3.5865473832
Gor,37.3655203646661,-2.9200425553
Gorafe,37.5311581183271,-3.0336332952
Granada,37.1886273389356,-3.5907775816
Guadahortuna,37.5231466533649,-3.3759957771
Guadix,37.3954980171969,-3.0978129545
Los Guájares,36.8576726467223,-3.6055987602
Gualchos,36.7250248798257,-3.3911558329
Güéjar Sierra,37.176487,-3.597929
Güevéjar,37.176487,-3.597929
Huélago,37.4202793755707,-3.2602940093
Huéneja,37.1898238514002,-2.9395192705
Huéscar,37.9348404571621,-2.5909551894
Huétor de Santillán,37.284183683983,-3.46274194768
Huétor Tájar,37.1872700322633,-4.0585510572
Huétor Vega,37.1484878044322,-3.5655628315
Íllora,37.2755324426818,-3.9039484787
Ítrabo,36.7919317653135,-3.6359640512
Iznalloz,37.439210817529,-3.55157275088
Jayena,36.9369067035137,-3.7942723817
Jerez del Marquesado,37.1652793134843,-3.1880741706
Jete,36.7977669138825,-3.6678485835
Jun,37.2172059952277,-3.5893044603
Júviles,36.9663228310324,-3.2328892372
Láchar,37.1917022023926,-3.8440634510
Lanjarón,36.9679808417258,-3.4528884209
Lanteira,37.1675795041185,-3.1301553762
Lecrín,36.9501176708813,-3.5330428988
Lentegí,36.8470232037129,-3.6946833787
Lobras,36.9086801633205,-3.2085859356
Loja,37.2125929074435,-4.1693947104
Lugros,37.2104703855399,-3.2424002543
Lújar,36.7784551949247,-3.3740588859
La Malahá,37.1041795942395,-3.7368188910
Maracena,37.2125111864514,-3.6401335233
Marchal,37.3015173947659,-3.1952700875
Moclín,37.3565622872413,-3.7946361747
Molvízar,36.7934539326599,-3.6001012660
Monachil,37.1036788766579,-3.4645738411
Montefrío,37.3444250352008,-4.0329212634
Montejícar,37.5576972134482,-3.5110970699
Montillana,37.480227798555,-3.71600450506
Moraleda de Zafayona,37.1910222296834,-3.9594284494
Morelábor,37.4471372743068,-3.3056622342
Motril,36.7364345472212,-3.4702847704
Murtas,36.8609143338055,-3.1219613782
Nevada,37.0407403362753,-3.0271815085
Nigüelas,37.176487,-3.597929
Nívar,37.2676170384621,-3.5525261250
Ogíjares,37.1238350070107,-3.6124168564
Orce,37.6976588213644,-2.4102917100
Órgiva,36.8664277329391,-3.3841596616
Otívar,36.842298788532,-3.73063255837
Otura,37.0766598711627,-3.6521204200
Padul,37.0180275661193,-3.6693225461
Pampaneira,36.9666198305627,-3.3753382761
Pedro Martínez,37.5086189289362,-3.2230870247
Peligros,37.2418245697042,-3.6331646909
La Peza,37.2921505139505,-3.3182900920
Pinar,37.4306879798655,-3.4397994621
El Pinar,36.8954363920299,-3.5298233671
Pinos Genil,37.1615257190564,-3.5028862722
Pinos Puente,37.2310612038569,-3.8113818008
Polícar,37.2475091258588,-3.2365493759
Polopos,36.7794799149886,-3.2986398912
Pórtugos,36.9710557655743,-3.3041919174
Puebla de Don Fadrique,37.9439099999437,-2.4104578869
Pulianas,37.2282747388379,-3.6074678676
Purullena,37.3438903653546,-3.1977293625
Quéntar,37.2275689414881,-3.4172403536
Rubite,36.7761567293501,-3.3385569621
Salar,37.1498767287213,-4.0191407404
Salobreña,36.7608041060987,-3.5870746694
Santa Cruz del Comercio,37.0624907132807,-3.9834335456
Santa Fe,37.1924105389251,-3.7381217888
Soportújar,36.9605726170923,-3.3990640525
Sorvilán,36.7945925176943,-3.2599451029
La Taha,36.9286684448312,-3.3276911332
Torre-Cardela,37.5046896998241,-3.3560008685
Torvizcón,36.8563152284847,-3.2814774990
Trevélez,37.0594752228722,-3.2573220309
Turón,36.842074548106,-3.10458186240
Ugíjar,36.9470133077476,-3.0716524424
Valle del Zalabí,37.2834975827733,-3.0021866123
El Valle,36.9277700959871,-3.6004687657
Válor,37.0294111466038,-3.0942132974
Vegas del Genil,37.1696565206316,-3.6893316208
Vélez de Benaudalla,36.8311565488422,-3.4902567958
Ventas de Huelma,37.0726718186311,-3.8256271564
Villamena,36.975320015273,-3.59647175987
Villanueva de las Torres,37.5349599538125,-3.1086911612
Villanueva Mesía,37.2248835052708,-4.0042551865
Víznar,37.2325317884765,-3.5448241727
Zafarraya,36.9864687604218,-4.1608569998
Zagra,37.2587504237326,-4.1781025295
La Zubia,37.1119453229583,-3.5714211323
Zújar,37.6113001642075,-2.8553768153
