codigo_ine,municipio,poblacion_2025
18001,Agrón,247
18002,Alamedilla,518
18003,Albolote,19768
18004,Albondón,703
18006,Albuñol,7388
18007,Albuñuelas,794
18005,Albuñán,422
18010,Aldeire,597
18011,Alfacar,5834
18012,Algarinejo,2335
18013,Alhama de Granada,5544
18014,Alhendín,10475
18015,Alicún de Ortega,461
18016,Almegíjar,327
18017,Almuñécar,27544
18904,Alpujarra de la Sierra,933
18018,Alquife,543
18020,Arenas del Rey,608
18021,Armilla,25300
18022,Atarfe,20914
18023,Baza,20587
18024,Beas de Granada,1007
18025,Beas de Guadix,318
18027,Benalúa,3381
18028,Benalúa de las Villas,1028
18029,Benamaurel,2235
18032,Bubión,305
18033,Busquístar,313
18030,Bérchules,688
18034,Cacín,549
18114,"Calahorra, La",680
18037,Calicasas,687
18038,Campotéjar,1218
18039,Caniles,3929
18042,Capileira,590
18043,Carataunas,207
18045,Castilléjar,1284
18046,Castril,1927
18047,Cenes de la Vega,8254
18059,Chauchina,5817
18061,Chimeneas,1265
18062,Churriana de la Vega,16878
18048,Cijuela,3827
18049,Cogollos de Guadix,614
18050,Cogollos de la Vega,2119
18051,Colomera,1278
18053,Cortes de Baza,1769
18054,Cortes y Graena,949
18912,Cuevas del Campo,1841
18035,Cádiar,1491
18036,Cájar,5511
18044,Cástaras,178
18040,Cáñar,424
18056,Cúllar,3978
18057,Cúllar Vega,7947
18063,Darro,1700
18065,Dehesas Viejas,635
18064,Dehesas de Guadix,382
18066,Deifontes,2612
18067,Diezma,829
18915,Domingo Pérez de Granada,822
18068,Dílar,2384
18069,Dólar,600
18070,Dúdar,382
18071,Dúrcal,7234
18072,Escúzar,826
18074,Ferreira,297
18076,Fonelas,965
18077,Fornes,526
18078,Freila,960
18079,Fuente Vaqueros,4743
18905,"Gabias, Las",23584
18082,Galera,1139
18083,Gobernador,231
18085,Gor,766
18086,Gorafe,368
18087,Granada,233975
18088,Guadahortuna,1829
18089,Guadix,18881
18093,Gualchos,5284
18906,"Guájares, Los",1081
18084,Gójar,6371
18095,Güevéjar,2723
18094,Güéjar Sierra,2915
18096,Huélago,343
18097,Huéneja,1180
18098,Huéscar,7241
18100,Huétor Tájar,10749
18101,Huétor Vega,12285
18099,Huétor de Santillán,1964
18105,Iznalloz,5179
18107,Jayena,979
18109,Jete,990
18111,Jun,4103
18112,Juviles,140
18106,Játar,631
18108,Jérez del Marquesado,955
18116,Lanjarón,3708
18117,Lanteira,533
18119,Lecrín,2244
18120,Lentegí,368
18121,Lobras,139
18122,Loja,20951
18123,Lugros,306
18115,Láchar,3892
18124,Lújar,491
18126,"Malahá, La",1928
18127,Maracena,22294
18128,Marchal,437
18132,Moclín,3503
18133,Molvízar,2689
18134,Monachil,8664
18135,Montefrío,5283
18136,Montejícar,1989
18137,Montillana,1054
18138,Moraleda de Zafayona,3214
18909,Morelábor,588
18140,Motril,59862
18141,Murtas,431
18903,Nevada,1086
18143,Nigüelas,1229
18144,Nívar,1093
18145,Ogíjares,15239
18146,Orce,1116
18148,Otívar,1011
18150,Padul,9667
18151,Pampaneira,312
18152,Pedro Martínez,1166
18153,Peligros,11725
18154,"Peza, La",1104
18910,"Pinar, El",867
18157,Pinos Genil,1642
18158,Pinos Puente,9807
18162,Polopos,1682
18161,Polícar,252
18164,Puebla de Don Fadrique,2195
18165,Pulianas,5659
18167,Purullena,2409
18159,Píñar,1040
18163,Pórtugos,372
18168,Quéntar,952
18170,Rubite,419
18171,Salar,2582
18173,Salobreña,12760
18174,Santa Cruz del Comercio,523
18175,Santa Fe,15494
18176,Soportújar,260
18177,Sorvilán,521
18901,"Taha, La",777
18178,Torre-Cardela,700
18916,Torrenueva Costa,3207
18179,Torvizcón,608
18180,Trevélez,698
18181,Turón,203
18182,Ugíjar,2574
18914,Valderrubio,2069
18907,Valle del Zalabí,2128
18902,"Valle, El",941
18911,Vegas del Genil,12424
18185,Ventas de Huelma,667
18149,Villa de Otura,7696
18908,Villamena,1029
18188,Villanueva Mesía,1965
18187,Villanueva de las Torres,491
18183,Válor,658
18184,Vélez de Benaudalla,3108
18189,Víznar,1006
18192,Zafarraya,2244
18913,Zagra,845
18193,"Zubia, La",20389
18194,Zújar,2655
18102,Íllora,9923
18103,Ítrabo,1022
18147,Órgiva,5728
